Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2013,1,22,2,4,3,1,12.666666666666666,3,4
2013,2,19,2,5,5,1,9.8,8,9
2013,3,18,2,4,2,0,6.0,10,13
2013,4,19,1,1,0,0,0,10,14
2013,5,15,4,5,2,0,6.0,12,19
2013,6,21,3,5,2,0,5.5,14,24
2013,7,17,3,7,5,1,13.8,19,31
2013,8,20,4,9,8,3,12.0,27,40
2013,9,20,4,6,4,2,6.25,31,46
2013,10,14,3,3,2,1,20.5,33,49
2013,11,17,3,6,4,2,13.5,37,55
2013,12,19,2,4,2,0,10.5,39,59
2013,13,19,5,6,4,1,21.75,43,65
2013,14,17,5,7,4,1,9.25,47,72
2013,15,10,6,7,3,2,13.0,50,79
2013,16,1,0,0,0,0,0,50,79
