Team,Agent,Victim
Colorado State,1,3
Colorado,5,4
Michigan,18,17
Washington,14,6
Notre Dame,11,14
Maryland,11,4
Virginia Tech,14,21
LSU,10,23
Kentucky,5,3
Louisville,6,11
UCLA,16,12
Virginia,12,7
South Carolina,16,14
Penn State,8,8
Nebraska,10,15
California,11,12
Michigan State,13,13
Florida State,12,26
Iowa,13,12
Fresno State,2,6
Ole Miss,13,9
Florida,13,18
Kansas State,8,7
Wisconsin,12,21
Texas Tech,9,8
Texas A&M,14,14
Indiana,7,0
Arkansas,15,6
Auburn,18,13
USC,10,18
Oregon,10,21
Alabama,12,13
Tennessee,10,8
Wyoming,1,0
Air Force,0,2
Pittsburgh,10,9
Boston College,11,7
Georgia,10,22
Georgia Tech,16,12
NC State,13,7
Oklahoma,10,23
Syracuse,5,0
Northern Illinois,3,4
Bowling Green,4,2
Arizona State,10,10
Texas,9,14
West Virginia,11,16
Washington State,7,4
East Carolina,5,3
TCU,7,11
Oklahoma State,12,12
UNLV,3,0
Wake Forest,4,5
Purdue,4,6
Kansas,4,4
Missouri,8,13
Utah,7,7
Minnesota,5,7
Ohio State,7,12
Clemson,17,16
Northwestern,13,6
New Mexico,1,0
Miami,12,16
Miami (OH),3,0
Toledo,3,3
Southern Mississippi,2,3
Troy,1,0
Louisiana Tech,2,1
Mississippi State,9,4
North Carolina,9,7
Baylor,7,7
Cincinnati,6,4
Iowa State,6,2
SMU,2,0
South Florida,9,8
Oregon State,11,5
Arizona,12,8
UAB,2,0
UTEP,1,1
Nevada,2,1
BYU,4,5
Vanderbilt,5,1
Rutgers,4,5
Hawaii,2,1
Appalachian State,1,0
Boise State,1,7
Illinois,4,3
Stanford,12,10
Connecticut,3,3
Navy,4,1
Houston,6,7
Tulsa,0,2
Buffalo,1,0
Ball State,1,1
UCF,2,0
James Madison,1,0
San Diego State,2,1
Louisiana Monroe,1,0
Kent State,1,1
Ohio,0,1
Utah State,3,0
Eastern Washington,1,0
Duke,4,2
San José State,1,0
Temple,2,1
Western Kentucky,1,0
Marshall,0,1
Memphis,1,3
Western Michigan,1,0
Central Michigan,1,0
North Dakota State,1,0
South Alabama,1,0
